OA,UV4030001,UV4030002,UV4030003,UV4030004,UV4030005,UV4030006,UV4030007,UV4030008,UV4030009,UV4030010,UV4030011
S00143364,101,54.0,19.0,27.0,0.0,5.0,30.0,15.0,15.0,0.0,2.0
S00143365,129,118.0,69.0,55.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0
S00143366,119,105.0,59.0,46.0,0.0,0.0,6.0,8.0,8.0,0.0,0.0
S00143367,125,52.0,32.0,18.0,0.0,0.0,2.0,72.0,72.0,0.0,0.0
S00143368,125,45.0,19.0,26.0,0.0,0.0,4.0,77.0,77.0,0.0,1.0
S00143369,128,70.0,29.0,41.0,0.0,0.0,1.0,61.0,56.0,3.0,0.0
S00143370,114,32.0,5.0,26.0,1.0,0.0,7.0,71.0,71.0,0.0,0.0
S00143371,81,57.0,29.0,28.0,0.0,0.0,3.0,21.0,21.0,0.0,0.0
S00143372,77,51.0,28.0,23.0,0.0,0.0,5.0,15.0,15.0,0.0,4.0
S00143373,143,117.0,46.0,71.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0
S00143374,138,115.0,70.0,45.0,0.0,0.0,6.0,17.0,17.0,0.0,0.0
S00143375,117,10.0,1.0,9.0,0.0,0.0,89.0,18.0,17.0,1.0,0.0
S00143376,70,15.0,10.0,5.0,0.0,0.0,10.0,47.0,44.0,1.0,0.0
S00143377,143,140.0,55.0,84.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0
S00143378,68,34.0,13.0,21.0,0.0,0.0,3.0,29.0,29.0,0.0,3.0
S00143379,84,68.0,28.0,38.0,0.0,0.0,1.0,14.0,14.0,0.0,0.0
S00143380,111,61.0,26.0,34.0,0.0,1.0,12.0,38.0,35.0,2.0,0.0
S00143381,78,16.0,16.0,1.0,0.0,0.0,0.0,54.0,54.0,0.0,7.0
S00143382,79,35.0,12.0,23.0,0.0,0.0,4.0,40.0,40.0,0.0,0.0
S00143383,74,38.0,33.0,5.0,0.0,0.0,0.0,34.0,34.0,0.0,1.0
S00143384,75,27.0,9.0,20.0,0.0,0.0,1.0,47.0,46.0,2.0,0.0
S00143385,165,21.0,13.0,8.0,0.0,0.0,17.0,126.0,121.0,5.0,0.0
S00143386,108,93.0,66.0,27.0,0.0,0.0,0.0,7.0,7.0,0.0,8.0
S00143387,99,94.0,49.0,42.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
S00143388,70,16.0,4.0,8.0,0.0,0.0,8.0,50.0,50.0,0.0,0.0
S00143389,89,67.0,27.0,39.0,0.0,0.0,7.0,15.0,15.0,0.0,0.0
S00143390,103,40.0,14.0,18.0,6.0,2.0,3.0,54.0,54.0,0.0,4.0
S00143391,112,8.0,2.0,8.0,0.0,0.0,50.0,54.0,39.0,15.0,0.0
S00143392,100,16.0,9.0,6.0,0.0,0.0,6.0,77.0,75.0,3.0,2.0
S00143393,108,59.0,30.0,29.0,0.0,0.0,32.0,16.0,11.0,5.0,1.0
S00143394,122,120.0,66.0,51.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S00143395,78,10.0,7.0,2.0,1.0,0.0,10.0,55.0,55.0,0.0,0.0
S00143396,128,57.0,24.0,31.0,0.0,0.0,3.0,69.0,69.0,0.0,1.0
S00143397,156,145.0,67.0,77.0,0.0,1.0,3.0,6.0,6.0,0.0,2.0
S00143398,161,110.0,52.0,61.0,0.0,0.0,38.0,9.0,9.0,0.0,1.0
