OA,UV6040001,UV6040002,UV6040003,UV6040004,UV6040005
S00135798,39.0,7.0,9.0,22.0,1.0
S00135799,79.0,13.0,15.0,43.0,8.0
S00135800,47.0,6.0,8.0,29.0,4.0
S00135801,39.0,6.0,7.0,20.0,6.0
S00135802,33.0,4.0,8.0,16.0,3.0
S00135803,49.0,8.0,11.0,27.0,0.0
S00135804,50.0,3.0,11.0,31.0,5.0
S00135805,21.0,2.0,5.0,12.0,0.0
S00135806,48.0,4.0,13.0,27.0,2.0
S00135807,51.0,9.0,11.0,33.0,0.0
S00135808,37.0,1.0,8.0,25.0,2.0
S00135809,48.0,6.0,10.0,31.0,2.0
S00135810,65.0,8.0,10.0,39.0,4.0
S00135811,75.0,6.0,19.0,36.0,9.0
S00135812,54.0,8.0,11.0,34.0,3.0
S00135813,50.0,5.0,10.0,27.0,6.0
S00135814,35.0,2.0,10.0,18.0,5.0
S00135815,21.0,2.0,3.0,14.0,2.0
S00135816,56.0,5.0,12.0,31.0,8.0
S00135817,57.0,1.0,7.0,39.0,8.0
S00135818,50.0,9.0,16.0,28.0,3.0
S00135819,59.0,3.0,13.0,40.0,4.0
S00135820,74.0,7.0,20.0,44.0,3.0
S00135821,44.0,5.0,9.0,27.0,3.0
S00135822,52.0,9.0,17.0,22.0,4.0
S00135823,69.0,7.0,26.0,32.0,7.0
S00135824,84.0,4.0,22.0,48.0,10.0
S00135825,49.0,3.0,12.0,31.0,8.0
S00135826,46.0,6.0,13.0,27.0,2.0
S00135827,30.0,0.0,7.0,21.0,1.0
S00135828,89.0,2.0,19.0,56.0,11.0
S00135829,27.0,2.0,5.0,18.0,2.0
S00135830,39.0,5.0,7.0,18.0,3.0
S00135831,56.0,4.0,12.0,37.0,5.0
S00135832,90.0,1.0,31.0,54.0,4.0
S00135833,54.0,4.0,14.0,31.0,3.0
S00135834,58.0,6.0,13.0,31.0,8.0
S00135835,72.0,6.0,20.0,41.0,5.0
S00135836,54.0,5.0,11.0,30.0,5.0
S00135837,70.0,5.0,20.0,40.0,5.0
S00135838,74.0,11.0,13.0,39.0,11.0
S00135839,96.0,14.0,24.0,45.0,10.0
S00135840,85.0,8.0,19.0,50.0,8.0
S00135841,33.0,4.0,8.0,22.0,4.0
S00135842,37.0,4.0,9.0,20.0,4.0
S00135843,11.0,3.0,2.0,3.0,2.0
S00135844,28.0,5.0,7.0,14.0,4.0
S00135845,40.0,1.0,9.0,29.0,1.0
S00135846,67.0,8.0,4.0,45.0,15.0
S00135847,60.0,19.0,21.0,15.0,2.0
S00135848,53.0,3.0,13.0,30.0,6.0
S00135849,21.0,2.0,4.0,15.0,4.0
S00135850,53.0,9.0,12.0,32.0,3.0
S00135851,68.0,5.0,19.0,39.0,7.0
S00135852,36.0,4.0,1.0,27.0,3.0
S00135853,11.0,0.0,5.0,4.0,0.0
S00135854,39.0,8.0,3.0,29.0,1.0
S00135855,32.0,2.0,7.0,20.0,3.0
S00135856,30.0,3.0,9.0,14.0,4.0
S00135857,21.0,0.0,2.0,15.0,4.0
S00135858,28.0,5.0,7.0,15.0,1.0
S00135859,38.0,6.0,4.0,24.0,4.0
