OA,UV1040001,UV1040002,UV1040003,UV1040004,UV1040005,UV1040006
S00135613,86,27.0,55.0,1.0,1.0,0.0
S00135614,94,35.0,44.0,3.0,6.0,7.0
S00135615,136,63.0,62.0,2.0,8.0,0.0
S00135616,58,45.0,12.0,1.0,3.0,0.0
S00135617,91,23.0,57.0,1.0,2.0,7.0
S00135618,65,17.0,42.0,0.0,4.0,2.0
S00135619,54,24.0,10.0,3.0,10.0,3.0
S00135620,77,45.0,23.0,4.0,3.0,1.0
S00135621,112,54.0,32.0,0.0,13.0,13.0
S00135622,79,50.0,15.0,8.0,9.0,1.0
S00135623,116,46.0,44.0,3.0,17.0,8.0
S00135624,70,23.0,30.0,2.0,12.0,3.0
S00135625,92,28.0,58.0,1.0,0.0,2.0
S00135626,51,18.0,21.0,3.0,5.0,5.0
S00135627,98,24.0,56.0,4.0,8.0,6.0
S00135628,136,50.0,55.0,4.0,15.0,12.0
S00135629,136,72.0,56.0,3.0,6.0,3.0
S00135630,93,34.0,45.0,1.0,9.0,4.0
S00135631,117,76.0,31.0,1.0,5.0,4.0
S00135632,134,36.0,61.0,3.0,29.0,6.0
S00135633,57,15.0,24.0,0.0,6.0,6.0
S00135634,73,56.0,6.0,3.0,7.0,1.0
S00135635,101,53.0,27.0,8.0,9.0,3.0
S00135636,89,26.0,45.0,3.0,7.0,8.0
S00135637,98,30.0,38.0,6.0,15.0,11.0
S00135638,75,24.0,35.0,1.0,6.0,9.0
S00135639,59,34.0,16.0,0.0,9.0,0.0
S00135640,114,41.0,48.0,1.0,16.0,11.0
S00135641,62,16.0,26.0,4.0,14.0,8.0
S00135642,128,60.0,54.0,2.0,10.0,4.0
S00135643,75,17.0,40.0,2.0,7.0,9.0
S00135644,70,24.0,32.0,1.0,6.0,7.0
S00135645,73,21.0,23.0,7.0,15.0,12.0
S00135646,67,9.0,27.0,0.0,14.0,17.0
S00135647,125,38.0,55.0,8.0,18.0,9.0
S00135648,86,42.0,25.0,1.0,16.0,2.0
S00135649,60,33.0,16.0,0.0,10.0,4.0
S00135650,91,35.0,31.0,7.0,10.0,7.0
S00135651,103,37.0,46.0,2.0,14.0,7.0
S00135652,81,25.0,40.0,0.0,13.0,3.0
S00135653,58,31.0,24.0,1.0,5.0,0.0
S00135654,58,26.0,13.0,6.0,12.0,2.0
S00135655,91,27.0,49.0,0.0,7.0,6.0
S00135656,81,45.0,16.0,0.0,17.0,2.0
S00135657,88,59.0,15.0,4.0,9.0,1.0
S00135658,68,39.0,20.0,2.0,7.0,2.0
S00135659,103,46.0,31.0,8.0,16.0,3.0
S00135660,91,50.0,19.0,7.0,15.0,1.0
S00135661,54,20.0,19.0,1.0,7.0,4.0
S00135662,100,26.0,57.0,7.0,8.0,3.0
S00135663,89,22.0,50.0,1.0,4.0,10.0
S00135664,135,59.0,43.0,4.0,15.0,10.0
S00135665,98,34.0,17.0,5.0,30.0,14.0
S00135666,68,18.0,27.0,1.0,5.0,18.0
S00135667,122,43.0,48.0,5.0,16.0,9.0
S00135668,107,55.0,29.0,7.0,11.0,5.0
S00135669,113,49.0,33.0,0.0,18.0,15.0
S00135670,127,86.0,27.0,6.0,5.0,3.0
S00135671,73,28.0,33.0,1.0,6.0,5.0
S00135672,94,50.0,27.0,1.0,10.0,6.0
S00135673,67,13.0,25.0,3.0,13.0,12.0
S00135674,83,30.0,42.0,2.0,7.0,3.0
S00135675,109,49.0,43.0,0.0,8.0,9.0
S00135676,72,39.0,17.0,1.0,10.0,4.0
S00135677,58,35.0,8.0,3.0,8.0,1.0
S00135678,88,39.0,32.0,1.0,8.0,7.0
S00135679,72,32.0,33.0,1.0,0.0,4.0
S00135680,88,26.0,44.0,1.0,6.0,10.0
S00135681,98,52.0,25.0,8.0,7.0,8.0
S00135682,69,22.0,30.0,5.0,10.0,5.0
S00135683,82,36.0,27.0,4.0,11.0,5.0
S00135684,70,37.0,16.0,4.0,8.0,5.0
S00135685,108,35.0,55.0,3.0,8.0,10.0
S00135686,103,9.0,24.0,4.0,33.0,33.0
S00135687,101,57.0,16.0,2.0,21.0,1.0
S00135688,113,44.0,45.0,0.0,18.0,12.0
S00135689,74,43.0,13.0,4.0,9.0,5.0
S00135690,106,44.0,36.0,5.0,17.0,4.0
S00135691,98,47.0,23.0,7.0,14.0,7.0
S00135692,61,36.0,16.0,3.0,5.0,4.0
S00135693,83,36.0,36.0,4.0,8.0,0.0
S00135694,76,16.0,42.0,2.0,9.0,7.0
S00135695,73,37.0,21.0,0.0,11.0,4.0
S00135696,59,40.0,16.0,0.0,2.0,0.0
S00135697,101,48.0,38.0,4.0,8.0,4.0
S00135698,118,64.0,23.0,5.0,19.0,9.0
S00135699,126,43.0,56.0,8.0,11.0,6.0
S00135700,43,24.0,15.0,4.0,6.0,0.0
S00135701,80,21.0,42.0,2.0,12.0,6.0
S00135702,103,38.0,26.0,3.0,18.0,18.0
S00135703,59,41.0,16.0,0.0,3.0,0.0
S00135704,62,44.0,4.0,1.0,11.0,0.0
S00135705,75,41.0,25.0,1.0,7.0,2.0
S00135706,92,54.0,25.0,2.0,8.0,4.0
S00135707,53,26.0,13.0,6.0,8.0,1.0
S00135708,101,52.0,24.0,6.0,12.0,7.0
S00135709,80,41.0,22.0,3.0,7.0,7.0
S00135710,52,28.0,8.0,4.0,13.0,3.0
S00135711,75,49.0,16.0,4.0,6.0,2.0
S00135712,100,42.0,36.0,7.0,15.0,5.0
S00135713,66,39.0,17.0,4.0,7.0,1.0
S00135714,105,59.0,27.0,3.0,16.0,4.0
S00135715,92,26.0,46.0,1.0,10.0,5.0
S00135716,107,64.0,23.0,0.0,14.0,4.0
S00135717,95,54.0,25.0,5.0,9.0,2.0
S00135718,59,28.0,21.0,4.0,2.0,2.0
S00135719,119,62.0,26.0,8.0,22.0,4.0
S00135720,169,68.0,80.0,1.0,11.0,9.0
S00135721,128,45.0,53.0,6.0,24.0,5.0
S00135722,56,32.0,12.0,0.0,8.0,0.0
S00135723,61,14.0,24.0,2.0,14.0,7.0
S00135724,67,27.0,25.0,2.0,6.0,7.0
S00135725,89,44.0,19.0,6.0,17.0,3.0
S00135726,114,53.0,42.0,6.0,12.0,3.0
S00135727,99,48.0,46.0,4.0,8.0,0.0
S00135728,91,44.0,19.0,10.0,12.0,6.0
S00135729,96,36.0,18.0,5.0,19.0,17.0
S00135730,84,27.0,42.0,0.0,6.0,4.0
S00135731,66,40.0,16.0,1.0,6.0,4.0
S00135732,92,48.0,19.0,0.0,20.0,4.0
S00135733,65,32.0,16.0,4.0,2.0,3.0
S00135734,180,124.0,41.0,2.0,6.0,4.0
S00135735,84,41.0,34.0,4.0,9.0,0.0
S00135736,78,44.0,20.0,6.0,6.0,3.0
S00135737,64,23.0,38.0,0.0,4.0,5.0
S00135738,131,53.0,54.0,3.0,12.0,8.0
S00135739,79,37.0,25.0,5.0,10.0,2.0
S00135740,77,23.0,44.0,0.0,5.0,7.0
S00135741,59,25.0,21.0,4.0,4.0,4.0
S00135742,81,37.0,20.0,3.0,12.0,10.0
S00135743,66,23.0,31.0,3.0,4.0,3.0
S00135744,78,28.0,29.0,1.0,8.0,4.0
S00135745,98,48.0,26.0,4.0,17.0,7.0
S00135746,51,27.0,8.0,1.0,7.0,8.0
S00135747,75,18.0,39.0,0.0,10.0,8.0
S00135748,101,51.0,30.0,3.0,10.0,6.0
S00135749,62,43.0,4.0,3.0,12.0,1.0
S00135750,87,39.0,24.0,8.0,13.0,6.0
S00135751,106,56.0,22.0,6.0,18.0,5.0
S00135752,65,28.0,25.0,3.0,8.0,2.0
S00135753,88,64.0,12.0,3.0,6.0,2.0
S00135754,83,33.0,28.0,5.0,6.0,4.0
S00135755,112,53.0,44.0,6.0,5.0,0.0
S00135756,80,37.0,23.0,2.0,16.0,2.0
S00135757,93,36.0,35.0,4.0,10.0,8.0
S00135758,97,30.0,15.0,4.0,29.0,19.0
S00135759,48,23.0,18.0,1.0,3.0,1.0
S00135760,56,27.0,15.0,0.0,9.0,0.0
S00135761,77,42.0,22.0,4.0,6.0,3.0
S00135762,96,48.0,29.0,5.0,11.0,4.0
S00135763,74,49.0,14.0,2.0,6.0,6.0
S00135764,77,32.0,23.0,2.0,12.0,8.0
S00135765,119,62.0,42.0,2.0,9.0,4.0
S00135766,91,40.0,44.0,1.0,7.0,1.0
S00135767,98,48.0,33.0,4.0,15.0,1.0
S00135768,140,68.0,48.0,1.0,10.0,6.0
S00135769,97,38.0,43.0,4.0,11.0,4.0
S00135770,93,52.0,20.0,2.0,16.0,1.0
S00135771,100,47.0,32.0,3.0,10.0,4.0
S00135772,151,54.0,71.0,2.0,16.0,10.0
S00135773,118,93.0,12.0,6.0,5.0,6.0
S00135774,61,26.0,21.0,6.0,10.0,1.0
S00135775,129,87.0,30.0,7.0,6.0,4.0
S00135776,84,52.0,24.0,3.0,4.0,3.0
S00135777,139,56.0,40.0,5.0,13.0,25.0
S00135778,60,25.0,21.0,5.0,1.0,1.0
S00135779,100,40.0,39.0,1.0,6.0,9.0
S00135780,76,36.0,32.0,3.0,4.0,1.0
S00135781,98,30.0,46.0,4.0,11.0,5.0
S00135782,86,32.0,25.0,2.0,19.0,5.0
S00135783,135,58.0,41.0,3.0,27.0,4.0
S00135784,64,30.0,21.0,4.0,6.0,3.0
S00135785,55,30.0,21.0,2.0,7.0,2.0
S00135786,114,55.0,37.0,6.0,10.0,6.0
S00135787,51,24.0,16.0,1.0,5.0,2.0
S00135788,93,30.0,42.0,2.0,14.0,6.0
S00135789,80,22.0,31.0,2.0,23.0,4.0
S00135790,91,50.0,19.0,3.0,14.0,3.0
S00135791,143,82.0,20.0,4.0,31.0,9.0
S00135792,70,35.0,23.0,0.0,9.0,2.0
S00135793,76,36.0,29.0,3.0,12.0,2.0
S00135794,117,34.0,70.0,1.0,9.0,6.0
S00135795,78,40.0,25.0,3.0,7.0,3.0
S00135796,88,38.0,30.0,4.0,10.0,7.0
S00135797,194,132.0,49.0,1.0,3.0,4.0
S00135798,72,45.0,16.0,3.0,4.0,5.0
